Conversation/DEBUG_FaceAnimTest/Group00001=Kerrigan /// Kerrigan
Conversation/DEBUG_FaceAnimTest/Group00002=Isza /// Izsha
Conversation/DEBUG_FaceAnimTest/Group00003=Zagara /// Zagara
Conversation/DEBUG_FaceAnimTest/Group00004=Stiukow /// Stukov
Conversation/DEBUG_FaceAnimTest/Group00005=Valerian /// Valerian
Conversation/DEBUG_FaceAnimTest/Group00006=Dehaka /// Dehaka
Conversation/DEBUG_FaceAnimTest/Group00007=Lasarra /// Lasarra
Conversation/DEBUG_FaceAnimTest/Group00008=Zainfekowana Kerrigan /// Kerrigan Infested
Conversation/zSM_RogueQueen/Line00170=Zmieni cię. Idź. /// He will [Serious]change you. Go.[/Serious]
Conversation/zSM_RogueQueen/Line00171=Porozmawiaj z Abaturem w jamie ewolucyjnej. /// [Serious]Talk to Abathur[/Serious] in the evolution pit.
Conversation/zSM_RogueQueen/Line00172=Zmiany Abatura dają rezultaty. Pamiętasz, o czym ci mówiłam na polu walki? /// [Happy 75]Abathur's changes are bearing fruit.[/Happy] Do you [Serious 75]remember[/Serious] what I told you on the battlefield?
Conversation/zSM_RogueQueen/Line00173=Nie. /// No.
Conversation/zSM_RogueQueen/Line00174=Abatur. Idź do niego. /// Abathur. Go to him.
Conversation/zSM_RogueQueen/Line00175=Dzięki niemu zrozumiesz wizję. /// [Serious]His work[/Serious] will make you understand vision.
Conversation/zSM_RogueQueen/Line00176=Tacy są najgroźniejsi. /// Cornered terrans are [Serious]the most dangerous kind.[/Serious]
Conversation/zSM_RogueQueen/Line00177=Szanuj przeciwnika, Zagaro. Nie ma zębisk, ale potrafi ugryźć. /// [Surprise 60]Respect your opponent, Zagara.[/Surprise] He has teeth you cannot see.
Conversation/zSM_RogueQueen/Line00178=Czasy się zmieniły. Adaptuj się. /// Times have changed. [Serious]Adapt.[/Serious]
Conversation/zSM_RogueQueen/Line00179=Char jest nasza. Rój to więcej, niż suma jego części. /// [Serious]Char is ours.[/Serious] The Swarm is greater [Serious]than the sum of its parts.[/Serious]
Conversation/zSM_RogueQueen/Line00180=Niech to będzie dla ciebie lekcja. /// There's a lesson for you there.
Conversation/zSM_RogueQueen/Line00181=Czy w tym miejscu poznam twoją tajemnicę? /// Will I come to understand your secret in that place?
Conversation/zSM_RogueQueen/Line00182=Na lewiatanie jest jama ewolucyjna, idź tam i ucz się. /// [Serious]There is an evolution pit[/Serious] on this leviathan. [Serious]Go there[/Serious] and learn.
Conversation/zSM_RogueQueen/Line00183=Zmienisz się i może dzięki temu zrozumiesz. Idź. /// [Surprise 60]You will change[/Surprise], and [Surprise 50]perhaps[/Surprise] that will help you understand. [Serious]Go.[/Serious]
Conversation/zSM_RogueQueen/Line00184=Na lewiatanie jest jama ewolucyjna, idź tam i ucz się. /// [Serious]There is an evolution pit[/Serious] on this leviathan. [Serious]Go there[/Serious] and learn.
Conversation/zSM_RogueQueen/Line00185=Zmienisz się i może dzięki temu zrozumiesz. Idź. /// [Surprise 60]You will change[/Surprise], and [Surprise 50]perhaps[/Surprise] that will help you understand. [Serious]Go.[/Serious]
Conversation/zSM_RogueQueen/Line00187=Pamiętasz, co na polu walki mówiłam ci o wizji?  /// Do you remember what I told you about vision on the battlefield? 
Conversation/zSM_RogueQueen/Line00188=Pamiętasz, co na polu walki mówiłam ci o wizji?  /// Do you remember what I told you about vision on the battlefield? 
Conversation/zSM_RogueQueen/Line00190=Wróć do jamy ewolucyjnej. Musisz się jeszcze rozwinąć. /// Return to the evolution pit. [Serious]You still need to grow.[/Serious]
Conversation/zSM_RogueQueen/Line00191=To boli. /// It is painful.
Conversation/zSM_RogueQueen/Line00192=Zmiany zawsze bolą. Dzięki temu zrozumiesz wizję. /// [Serious]Change always is.[/Serious] It will make you understand vision.
Conversation/zSM_RogueQueen/Line00193=Wróć do jamy ewolucyjnej. Musisz się jeszcze rozwinąć. /// Return to the evolution pit. [Serious]You still need to grow.[/Serious]
Conversation/zSM_RogueQueen/Line00194=Zmiany zawsze bolą. Dzięki temu zrozumiesz wizję. /// [Serious]Change always is.[/Serious] It will make you understand vision.
Conversation/zSM_Stukov/Comment00015=They smile at each other. /// They smile at each other.
Conversation/zSM_Stukov/Group00001=Stukov Storymode conversations /// Stukov Storymode conversations
Conversation/zSM_Stukov/Group00002=NIEAKTUALNE /// OBSOLETE
Conversation/zSM_Stukov/Group00003=Before Hybrid03 /// Before Hybrid03
Conversation/zSM_Stukov/Group00006=After Hybrid03 /// After Hybrid03
Conversation/zSM_Stukov/Group00008=Before Korhal02 /// Before Korhal02
Conversation/zSM_Stukov/Group00009=Before Korhal03 /// Before Korhal03
Conversation/zSM_Stukov/Group00010=Before Hybrid02 /// Before Hybrid02
Conversation/zSM_Stukov/Group00011=Before Hybrid01 /// Before Hybrid01
Conversation/zSM_Stukov/Group00012=Hybrid Arc /// Hybrid Arc
Conversation/zSM_Stukov/Group00013=Korhal Arc /// Korhal Arc
Conversation/zSM_Stukov/Group00015=Wątek PrzestrzeńKosmiczna /// Space Arc
Conversation/zSM_Stukov/Group00016=W dowolnym momencie przed Przestrzeń02. /// Any time before Space02
Conversation/zSM_Stukov/Group00017=Player chose to Stay OBSOLETE /// Player chose to Stay OBSOLETE
Conversation/zSM_Stukov/Line00017=Możesz odejść, nie będę cię zatrzymywać. /// If you want to leave, I won't stop you.
Conversation/zSM_Stukov/Line00019=Narud nie żyje, laboratorium hybryd jest zniszczone. Zostałem tylko ja. Pewnie teraz mnie zabijesz. /// Narud is dead and the hybrid lab is destroyed. I am the final loose end. [Sad 70]I suppose you kill me now.[/Sad]
Conversation/zSM_Stukov/Line00046=Ha. I gdzie miałbym pójść? Pół-człowiek, pół-zerg? Potwór. /// Hah! Where would I go? Half man, half zerg? A monster.
Conversation/zSM_Stukov/Line00071=Za godzinę albo Arcturus Mengsk będzie martwy... albo ja. Jeśli przeżyję, ruszę szukać Amona. /// In one hour, either [Angry 70]Arcturus Mengsk will be dead[/Angry] -- or [Serious 70]I will.[/Serious] If I'm still alive, I will set out to find Amon.
Conversation/zSM_Stukov/Line00072=Upadłego xel'naga. Istoty o nieznanej mocy. /// The fallen xel'naga. A being of unknowable power.
Conversation/zSM_Stukov/Line00073=Nie mamy szans. /// There's no way we can win.
Conversation/zSM_Stukov/Line00074=Bo inaczej równie dobrze moglibyśmy po prostu położyć się i umrzeć. /// Because the only other option is to lie down and die.
Conversation/zSM_Stukov/Line00075=Jestem z tobą. /// I am with you.
Conversation/zSM_Stukov/Line00076=Nigdy nie chciałem umierać bez walki. Czyli walczymy z bogiem do ostatniej kropli krwi? To godna śmierć. /// Well, I never wanted to die lying down. So, fight a god to the bitter end? That sounds like a worthy death.
Conversation/zSM_Stukov/Line00077=To chyba nie będzie takie proste. Nie z Arcturusem. /// I [Serious]don't think[/Serious] it will be that simple. [Angry 70]It never is with Arcturus.[/Angry]
Conversation/zSM_Stukov/Line00078=Oto jesteś u bram wroga. Już prawie koniec. /// Here you are, at the enemy's doorstep. It is almost over.
Conversation/zSM_Stukov/Line00079=Jego myśli wyprzedzają twoje czyny. Zna twój następny krok jeszcze przed tobą. /// He thinks around you, that one. He knows where you'll walk before you do.
Conversation/zSM_Stukov/Line00080=Ale byłaś częścią jego wielu planów... Czy jako wspólnik, czy ofiara... Na pewno poznałaś kilka jego sztuczek. /// But you've been part of so many of his plans -- as accomplice or victim. [Happy]I am sure you learned a trick or two, yes?[/Happy]
Conversation/zSM_Stukov/Line00081=Tak. Niedługo się przekonamy, czy byłam pilną uczennicą. /// I did. We'll find out [Serious]very soon[/Serious] if I was a good student.
Conversation/zSM_Stukov/Line00108=Wierz mi, rozumiem. Zostań z rojem, a może odnajdziesz cel w życiu. /// I understand, believe me. Stay with the Swarm and perhaps the way will become clear.
Conversation/zSM_Stukov/Line00111=A przynajmniej... nie będę się nudził. /// If nothing else, it will be interesting.
Conversation/zSM_Stukov/Line00113=Kiedy widzę gwiazdy, myślę o Ziemi. [Happy 75]Przypominam sobie zielone wzgórza.[/Happy] /// When I see the stars arrayed before me like this, I think of Earth. [Happy 75]I remember its green hills.[/Happy]
Conversation/zSM_Stukov/Line00114=Nie możesz już wrócić do domu. /// You can't go home again.
Conversation/zSM_Stukov/Line00115=Wiem. Na Ziemi nie ma już dla mnie miejsca. /// I know. I have no place on Earth now.
Conversation/zSM_Stukov/Line00116=Mam na myśli, że ci nie pozwolę. Twój powrót zaalarmowałby władze na Ziemi. /// I mean I won't [Serious]let you.[/Serious] Your return would be noticed by the government of Earth.
Conversation/zSM_Stukov/Line00119=Wiesz, że któregoś dnia wrócą. /// They will come back someday, you know.
Conversation/zSM_Stukov/Line00120=Wiem. I będę na nich czekać. /// I do. And I will be ready for them.
Conversation/zSM_Stukov/Line00121=Dlaczego mi pomagasz? Nie chodzi tylko o pozbycie się hybrydy, prawda? /// This isn't just about getting rid of the hybrid threat, [Serious]is it? Why are you helping me?[/Serious]
Conversation/zSM_Stukov/Line00122=Trzymali mnie tutaj wiele lat. Przeżyłem eksperymenty, tortury i o wiele gorsze rzeczy. /// They held me here for many years. I survived experiments, torture, and worse.
Conversation/zSM_Stukov/Line00123=[Serious]Zainfekowany. Więziony. Poddany eksperymentom i ścigany.[/Serious] Mamy wiele wspólnego. /// [Serious]Infested. Held captive. Experimented on and hunted.[/Serious] [Happy 75]We have some things in common.[/Happy]
Conversation/zSM_Stukov/Line00124=Chcę widzieć, jak to miejsce płonie. Nie przyszedł mi do głowy nikt równie potężny, kto chciałby i mógłby w tym pomóc. /// Now, I will see it burn. You were the only one I could think of with the power, and will, to aid me.
Conversation/zSM_Stukov/Line00125=Opowiedz mi o hybrydzie. /// Tell me about the hybrid.
Conversation/zSM_Stukov/Line00126=Ma połączone DNA zergów i protosów… Coś, co wydawało się niemożliwe. /// Zerg and protoss DNA combined -- something that should not be possible.
Conversation/zSM_Stukov/Line00128=Stacja Skygeirr. Tajne laboratorium zbrojeniowe Dominium. To serce programu hodowli hybryd Mengska. /// Skygeirr Station. The Dominion's secret weapons lab. This is the heart of Mengsk's hybrid breeding program.
Conversation/zSM_Stukov/Line00129=I te stworzenia słuchają rozkazów Mengska? /// And these creatures will follow Mengsk's orders?
Conversation/zSM_Stukov/Line00130=Wydaje mu się, że będą. [Happy 80]Ja nie byłbym tego taki pewny.[/Happy] /// He believes they will. [Happy 80]I am not so sure.[/Happy]
Conversation/zSM_Stukov/Line00133=Dziwię się, że nie pognałaś Raynorowi na ratunek. /// I am surprised you did not rush off to rescue Jim Raynor.
Conversation/zSM_Stukov/Line00134=Mengsk potrzebuje Jima żywego, żeby trzymać mnie z dala od Korhalu. A my musimy zniszczyć laboratorium. /// Mengsk needs Jim alive and well to keep me away from Korhal. And we have to take down this lab.
Conversation/zSM_Stukov/Line00137=Może. A może wiesz, jak Raynor zareaguje na twój widok? /// Perhaps. Or perhaps you know how Raynor will react when you face him?
Conversation/zSM_Stukov/Line00138=Zachowaj swoje myśli dla siebie, Stiukow. /// Keep your opinions to yourself, Stukov.
Conversation/zSM_Stukov/Line00139=Ciekawe, jak Narud chce wskrzesić tak potężną istotę, jak Amon? /// I wonder how Narud could hope to resurrect a being as powerful as Amon?
Conversation/zSM_Stukov/Line00140=Myślę, że kluczem są hybrydy. Gromadzą energię psioniczną zergów i protosów. Ale skąd wzięliby jej tyle, żeby wskrzesić martwego boga? /// I think the hybrid are key. They gather psionic energy. [Serious]But where would they get enough to resurrect a dead god?[/Serious]
Conversation/zSM_Stukov/Line00142=Może gdy zgromadzi dość energii psionicznej, sprowadzi Amona z powrotem? /// Maybe with enough psionic energy, he can bring back Amon?
Conversation/zSM_Stukov/Line00143=Powiedziałaś, że starożytny artefakt xel'naga zamienił cię w człowieka. /// You told me an ancient xel'naga artifact was used to make you human again.
Conversation/zSM_Stukov/Line00144=Ale cała moc, którą dysponowałaś jako Królowa Ostrzy... Co się z nią stało po twojej transformacji? /// But all the power you wielded as the Queen of Blades... where did it go after your transformation?
Conversation/zSM_Stukov/Line00145=Chcesz powiedzieć… że w pobliżu była hybryda, która ją zgromadziła? A potem wykorzystała do... O, nie. /// [Surprise]You mean... [/Surprise]there might have been hybrid nearby who gathered it? [Fear 75]And... used it to... [Fear]oh[/Fear] no.[/Fear]
Conversation/zSM_Stukov/Line00146=Jeśli Narud wykorzystał artefakt xel'naga w ten sposób… może mieć już dość mocy, by wskrzesić Amona. /// If Narud used the xel'naga artifact in that way... he may already have enough energy to resurrect Amon.
Conversation/zSM_Stukov/Line00147=Więc po co walczyć? /// Then why fight?
Conversation/zSM_Stukov/Line00148=Mogłyby rozważyć kolejną ekspedycję do naszego zakątka kosmosu. /// They might consider another expedition to our little corner of space.
Conversation/zSM_Valerian/Comment00001=She cuts the connection. /// She cuts the connection.
Conversation/zSM_Valerian/Group00001=Conversation with Valerian aboard the Hyperion /// Conversation with Valerian aboard the Hyperion
Conversation/zSM_Valerian/Group00002=Przed PrzestrzeńKosmiczna02 /// Before Space02
Conversation/zSM_Valerian/Group00003=Po PrzestrzeńKosmiczna02 /// After Space02
Conversation/zSM_Valerian/Line00001=Znalazłeś coś? /// Have you found anything?
Conversation/zSM_Valerian/Line00002=Pułkownik Orlan włamuje się właśnie do sieci Dominium. /// Colonel Orlan is hacking into the Dominion net [Serious]right now.[/Serious]
Conversation/zSM_Valerian/Line00003=Jestem tutaj, żeby porozmawiać z tobą. Wiesz, że niedługo ruszam na Korhal? /// I'm here to talk to [Surprise 80]you, Valerian.[/Surprise] [Surprise 60]You understand that I am going to Korhal soon?[/Surprise]
Conversation/zSM_Valerian/Line00004=Jim ma się lepiej. Jest w skrzydle medycznym, ale chyba nie chce… /// [Surprise 65]Jim is doing well. He's in the medbay[/Surprise], but [Serious]I don't think he wants to [/Serious]talk to any--
Conversation/zSM_Valerian/Line00005=Powiedz mu, że ma godzinę. /// Tell him he's got one hour.
Conversation/zSM_Valerian/Line00006=Nie zrobię tego, Kerrigan. /// I won't do that, Kerrigan.
Conversation/zSM_Valerian/Line00007=Ta sytuacja cię przerasta, nie pogarszaj jej. /// [Serious 70]You're already in over your head. [/Serious][Angry 80]Don't make it worse.[/Angry]
Conversation/zSM_Valerian/Line00008=Chcę z tobą porozmawiać, Valerianie. Wiesz, że niedługo ruszam na Korhal? /// I'm here to talk to [Surprise 70]you, Valerian. You know I am going to Korhal now, correct?[/Surprise]
Conversation/zSM_Valerian/Line00009=Wiem. Chcesz zabić mojego ojca. /// [Surprise 60]I do.[/Surprise][Serious] You plan to kill my father.[/Serious]
Conversation/zSM_Valerian/Line00010=Zasłużył sobie na to już dawno temu. Muszę wiedzieć, po czyjej stronie stoisz.  /// [Surprise 60]He's had this[/Surprise] coming for a [Serious]long time. [/Serious]I need to know where [Serious]you stand.[/Serious]
Conversation/zSM_Valerian/Line00011=Muszę chronić ludzi. Wiem, że dla mojego ojca nie ma ratunku, i... trzeba mu odebrać władzę.  /// I stand for my people. I've accepted that my father is [Angry 70]beyond redemption [/Angry][Serious]and must be removed from power.[/Serious] 
Conversation/zSM_Valerian/Line00012=Wydoroślałeś od czasów Umoji. /// You've done some growing up since Umoja.
Conversation/zSM_Valerian/Line00014=Nie tylko zergi się adaptują. /// Zerg are not the only ones who adapt.
Conversation/zSM_Valerian/Line00016=Jeśli Dominium dowie się, że wtargnęliśmy, przeniosą Jima albo go zabiją. /// If [Serious 75]the Dominion sense our intrusion[/Serious][Surprise 60], they'll move Jim[/Surprise][Serious], or kill him.[/Serious]
Conversation/zSM_Valerian/Line00017=Nie będę ryzykować porażki tylko z powodu twojej niecierpliwości. Daruj więc sobie groźby. /// [Serious]I am not going to risk failure[/Serious] because you are impatient,[Serious] so save your threats.[/Serious]
Conversation/zSM_Valerian/Line00018=Niech będzie. Zaczekam, aż wasz ekspert dokończy. /// [Happy 70]Very well,[/Happy] I will wait for your expert to do his work.
Conversation/zSM_Valerian/Line00019=Cieszę się, że się rozumiemy. /// I am glad we understand each other.
Conversation/zSM_Zeratul/Group00001=Zeratul Storymode conversation /// Zeratul Storymode conversation
Conversation/zSM_Zeratul/Group00002=Before Zerus01 /// Before Zerus01
Conversation/zSM_Zeratul/Group00003=NIEAKTUALNE /// OBSOLETE
Conversation/zSM_Zeratul/Line00001=Dlaczego mi pomagasz, Zeratulu? Masz jeszcze więcej powodów niż inni, żeby mnie nienawidzić. /// Why are you helping me, Zeratul? You have more cause to hate me than most.
Conversation/zSM_Zeratul/Line00002=Xel'naga pragną, byś na nowo została przywódczynią roju. /// The xel'naga wish you restored as the leader of the Swarm.
Conversation/zSM_Zeratul/Line00004=Kiedyś wszyscy zapłacimy za nasze czyny. Twój dzień chyba jest już blisko. /// We all have to pay for our actions someday. I guess your day is almost here.
Conversation/zSM_Zeratul/Line00005=Nie wierzę w twoje szalone proroctwa. /// You know I don't believe in your mad prophecies.
Conversation/zSM_Zeratul/Line00008=Nie wymagam od ciebie wiary. Działam dla wyższego dobra, choć budzi to nienawiść mego ludu. /// Your belief is not required. I act for the greater good, though it earns me the hatred of my own people.
Conversation/zSM_Zeratul/Line00011=Zabiją cię. /// They'll kill you.
Conversation/zSM_Zeratul/Line00012=Służę teraz większej sprawie. Powiem im. /// I serve a higher purpose now. I will tell them.
Conversation/zSM_Zeratul/Line00013=Oszczędź mi użalania się nad sobą, Zeratulu. Każdy powinien być świadomy konsekwencji swoich decyzji. /// Spare me your self-pity, Zeratul. Everyone has to make peace with their own choices.
Conversation/zSM_Zeratul/Line00014=Pogodziłem się z mym losem dawno temu. Kiedy skończymy, wrócę do mego ludu i poddam się ich osądowi. /// I made my peace long ago. When we are done here, I will return to my people, and accept their judgment.
Conversation/zSM_Zeratul/Line00015=Służę teraz większej sprawie. /// I serve a higher purpose now.
Conversation/zSM_ZergAdjutant/Comment00001=Standard opening: /// Standard opening:
Conversation/zSM_ZergAdjutant/Comment00006=Kerrigan's eyes glow. /// Kerrigan's eyes glow.
Conversation/zSM_ZergAdjutant/Comment00019=Brak konwersacji po PrzestrzeńKosmiczna02. Tylko jedna kwestia. /// No conversatoin after Space02. Just a 1-liner.
Conversation/zSM_ZergAdjutant/Comment00022=Zerg07 has fired but the player opted to go to Char or Ekspedycja rather than Zerus. /// Zerg07 has fired but the player opted to go to Char or Expedition rather than Zerus.
Conversation/zSM_ZergAdjutant/Group00001=ZergAdjutant /// ZergAdjutant
Conversation/zSM_ZergAdjutant/Group00002=Ekspedycja /// Expedition
Conversation/zSM_ZergAdjutant/Group00003=Char /// Char
Conversation/zSM_ZergAdjutant/Group00004=Before Korhal03 /// Before Korhal03
Conversation/zSM_ZergAdjutant/Group00005=NIEAKTUALNE /// OBSOLETE
Conversation/zSM_ZergAdjutant/Group00007=Zerus /// Zerus
Conversation/zSM_ZergAdjutant/Group00008=Before Korhal01 /// Before Korhal01
Conversation/zSM_ZergAdjutant/Group00009=Hybryda /// Hybrid
Conversation/zSM_ZergAdjutant/Group00011=Korhal /// Korhal
Conversation/zSM_ZergAdjutant/Group00012=Main /// Main
Conversation/zSM_ZergAdjutant/Group00013=Before Char02 /// Before Char02
Conversation/zSM_ZergAdjutant/Group00014=Before Char03 /// Before Char03
Conversation/zSM_ZergAdjutant/Group00015=After Hybrid03 /// After Hybrid03
Conversation/zSM_ZergAdjutant/Group00016=3rd Arc, not on Zerus /// 3rd Arc, not on Zerus
Conversation/zSM_ZergAdjutant/Group00017=Before 4th mission /// Before 4th mission
Conversation/zSM_ZergAdjutant/Group00018=Before Zerus03 /// Before Zerus03
Conversation/zSM_ZergAdjutant/Group00019=Pre-Zerus02 /// Pre-Zerus02
Conversation/zSM_ZergAdjutant/Group00021=Before Char01, post Zerus02 /// Before Char01, post Zerus02
Conversation/zSM_ZergAdjutant/Group00022=Before Hybrid01 /// Before Hybrid01
Conversation/zSM_ZergAdjutant/Group00023=Player did space arc /// Player did space arc
Conversation/zSM_ZergAdjutant/Group00024=Before Hybrid03 /// Before Hybrid03
Conversation/zSM_ZergAdjutant/Group00025=After Zerus03 /// After Zerus03
Conversation/zSM_ZergAdjutant/Group00026=Gracz nie zakończył jeszcze wątku PrzestrzeńKosmiczna /// Player did not do Space Arc yet
Conversation/zSM_ZergAdjutant/Group00027=Post-Zerus02 /// Post-Zerus02
Conversation/zSM_ZergAdjutant/Group00028=After Char03 /// After Char03
Conversation/zSM_ZergAdjutant/Group00029=Conversations that should always take priority /// Conversations that should always take priority
Conversation/zSM_ZergAdjutant/Group00030=Pre-Zerus02 /// Pre-Zerus02
Conversation/zSM_ZergAdjutant/Group00031=After First Destroyer of Worlds /// After First Destroyer of Worlds
Conversation/zSM_ZergAdjutant/Group00032=Post-Zerus02 /// Post-Zerus02
Conversation/zSM_ZergAdjutant/Group00033=Before Exp01, post Zerus02 /// Before Exp01, post Zerus02
Conversation/zSM_ZergAdjutant/Group00034=Before Exp02 /// Before Exp02
Conversation/zSM_ZergAdjutant/Group00035=Before Exp03 /// Before Exp03
Conversation/zSM_ZergAdjutant/Group00036=Ekspedycja is 2nd arc /// Expedition is 2nd arc
Conversation/zSM_ZergAdjutant/Group00037=Before Zerus01 /// Before Zerus01
Conversation/zSM_ZergAdjutant/Group00038=Before Zerus02 /// Before Zerus02
Conversation/zSM_ZergAdjutant/Group00039=Miejsce /// Space
Conversation/zSM_ZergAdjutant/Group00040=Przed PrzestrzeńKosmiczna01 /// Before Space01
Conversation/zSM_ZergAdjutant/Group00041=After Exp03 /// After Exp03
Conversation/zSM_ZergAdjutant/Group00042=Ekspedycja is 3rd Arc or greater /// Expedition is 3rd Arc or greater
Conversation/zSM_ZergAdjutant/Group00043=Przed PrzestrzeńKosmiczna02 /// Before Space02
Conversation/zSM_ZergAdjutant/Group00047=Before Korhal02 /// Before Korhal02
Conversation/zSM_ZergAdjutant/Line00002=Łowy idą pomyślnie, królowo? /// The hunt goes well, my queen?
Conversation/zSM_ZergAdjutant/Line00007=Oczywiście. Wymuszona adaptacja. /// Of course. Forced adaptation.
Conversation/zSM_ZergAdjutant/Line00008=Dla zergów, oczywiście. Cokolwiek królowa utraciła, pomyśl o tym, co zyskała: /// For zerg, it is. Whatever my queen has lost, think what she has gained:
Conversation/zSM_ZergAdjutant/Line00009=Isza. Kiedy Królowa Ostrzy… [Serious 70]kiedy dowodziłam rojem na Char...[/Serious] Jaka byłam? /// Izsha. When the Queen of Blades... [Serious]when I commanded the Swarm here on Char.[/Serious] What was I like?
Conversation/zSM_ZergAdjutant/Line00010=Nigdy nam nie mówiłaś. Powiedziałaś tylko, że miałaś wizję naszej zagłady. I chciałaś, żebyśmy walczyli do końca. /// You never told us. You only said that you had seen a vision of our extinction. And you wanted us to fight to the last.
Conversation/zSM_ZergAdjutant/Line00014=Adaptuj się lub giń. To jedyny wybór. /// Adapt or die. It is our only choice.
Conversation/zSM_ZergAdjutant/Line00016=Zdziczały. Zaatakowały się nawzajem. Ginęły milionami… /// They went feral. They attacked each other. They died by the millions.
Conversation/zSM_ZergAdjutant/Line00019=Rój był kiedyś narzędziem Amona. Będzie chciał nas znowu wykorzystać. /// The Swarm was once Amon's tool. He will seek to use us again.
Conversation/zSM_ZergAdjutant/Line00020=Isza, wszędzie wokół mnie widzę ślady dawnej Królowej Ostrzy. /// Izsha, all around me I see signs of the old Queen of Blades.
Conversation/zSM_ZergAdjutant/Line00022=Ale nie pamiętam, dlaczego wstrzymałam oddziały na Char na tak długi czas? /// But I can't remember why I held my forces here on Char for so long.
Conversation/zSM_ZergAdjutant/Line00023=Badałaś przyszłość, planowałaś na czas wielkiej wojny. /// You were studying the future, planning for a great war.
Conversation/zSM_ZergAdjutant/Line00024=Jakiej wojny? Wyjaśnij. /// [Surprise 75]What war?[/Surprise] [Serious]Explain.[/Serious]
Conversation/zSM_ZergAdjutant/Line00028=Tego nie wiem. Ale inne rasy nie będą już wykorzystywać zergów... nawet xel'naga. /// I don't know about that. But the zerg will never again be pawns of other races... [Serious]not even the xel'naga.[/Serious]
Conversation/zSM_ZergAdjutant/Line00032=Nafash chciała wzmocnić swój rój, umieszczając go w najmniej przyjaznym środowisku, jakie znalazła. /// Nafash was strengthening her brood, by putting them in the harshest environment she could find.
Conversation/zSM_ZergAdjutant/Line00034=Jest tu tak mało życia, które szczep mógłby zasymilować. /// There is so little life here for a brood to assimilate.
Conversation/zSM_ZergAdjutant/Line00040=Jestem przywódczynią roju i jeśli umrę, wy umrzecie ze mną. Pamiętaj. /// I am the leader of the Swarm and if I die, so do all of you. Remember it.
Conversation/zSM_ZergAdjutant/Line00042=Czystość esencji. Jesteś wolą roju. /// Purity of essence. You are the will of the Swarm.
Conversation/zSM_ZergAdjutant/Line00047=Krwawo. /// It's bloody.
Conversation/zSM_ZergAdjutant/Line00048=[Angry 80]Protosi zabiliby cię, gdyby mogli.[/Angry] [Serious]Nie są zergami, a to znaczy, że są wrogami.[/Serious] /// [Angry 80]Those protoss would kill you if they could.[/Angry] [Serious]They are not zerg, that means they are the enemy.[/Serious]
Conversation/zSM_ZergAdjutant/Line00049=Stałaś się silna i zajęłaś kolejny świat. Myślę, że podbijesz wszechświat. /// You have become strong and taken another world. [Happy 70]I think you will conquer the universe.[/Happy]
Conversation/zSM_ZergAdjutant/Line00050=A teraz? /// And now?
Conversation/zSM_ZergAdjutant/Line00053=To takie proste? /// Is it that simple?
Conversation/zSM_ZergAdjutant/Line00094=Wysłałaś rój na poszukiwania części artefaktu xel'naga. /// You dispersed the Swarm to search for the parts of a xel'naga artifact.
Conversation/zSM_ZergAdjutant/Line00113=Ale kiedy terranie przybyli tutaj z artefaktem, przywołałaś najbliższe szczepy, żeby cię chroniły.  /// But when the terrans came here with that same artifact, you recalled the nearest broods to defend you. 
Conversation/zSM_ZergAdjutant/Line00168=Nie wiemy, gdzie teraz jest. Musimy być gotowi na jego nadejście, ale najpierw chcę wyrównać stare rachunki. /// We do not know where he is right now. We must prepare for his coming, but I have a few scores to settle first.
Conversation/zSM_ZergAdjutant/Line00169=Oczywiście, królowo. /// Of course, my queen.
Conversation/zSM_ZergAdjutant/Line00170=Królowo, rój zgromadził się nad Korhalem. Matki szczepów czekają na twój rozkaz. /// My queen, the Swarm has assembled above Korhal. The broodmothers await your command.
Conversation/zSM_ZergAdjutant/Line00171=Każ im utrzymać pozycję na orbicie. Niech nie zbliżają się do obrony planetarnej. /// Tell them to hold position in orbit. Stay out of range of the planet's defenses.
Conversation/zSM_ZergAdjutant/Line00172=Floty Dominium zbliżają się do naszych pozycji. Wojska terran przybywają z całego sektora. /// Dominion fleets are converging on our position. Terran troops are arriving from all over the sector.
Conversation/zSM_ZergAdjutant/Line00173=Nic nas nie powstrzyma. Korhal jest mój. /// Nothing will stop us. Korhal is mine.
Conversation/zSM_ZergAdjutant/Line00175=Matko szczepu Kilyso, posłuchaj... Niech twoje lewiatany ustawią blokadę. Zabij wszystko, co zbliży się do systemu. /// Broodmother Kilysa, hear me. Have your leviathans form a blockade. Kill anything coming into the system.
Conversation/zSM_ZergAdjutant/Line00177=Byłaś potężna. Dałaś nam siłę i spryt. Wiedzieliśmy, że pod twoimi rządami przetrwamy na wieki. /// You were mighty. You made us cunning and strong, and we knew we would survive forever under you.
Conversation/zSM_ZergAdjutant/Line00181=Emanujesz wielką mocą. Większą, niż kiedykolwiek Królowa Ostrzy. /// [Happy 70]You radiate so much power.[/Happy] More than the old Queen of Blades ever did.
Conversation/zSM_ZergAdjutant/Line00184=Wszystko jest inne. Zawsze słyszałam i kontrolowałam rój. /// Everything is different. I could always hear the Swarm, control it.
Conversation/zSM_ZergAdjutant/Line00186=Ale teraz… czuję rój. Jestem rojem. /// But now... I feel the Swarm. Now I am the Swarm.
